,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm,dec_4_self_dot_ratio_norm,dec_5_self_dot_ratio_norm,dec_6_self_dot_ratio_norm,dec_7_self_dot_ratio_norm
25148,0.0014078004,0.0014078313,0.0014077086,0.001407784,0.0014078752,0.0014075893,0.0014079775,0.0014077347
25149,0.0014095092,0.0014095906,0.0014094338,0.0014096238,0.0014095353,0.001409414,0.0014094629,0.0014094295
25150,0.0014185151,0.0014184702,0.0014184798,0.0014183795,0.0014184495,0.0014183667,0.001418421,0.0014184779
25151,0.001415889,0.0014159111,0.0014159835,0.00141584,0.0014159181,0.00141583,0.0014159404,0.0014158394
25152,0.001412389,0.0014125394,0.0014124984,0.0014124138,0.0014125347,0.0014124595,0.0014125587,0.0014126021
25153,0.0014084578,0.0014083812,0.001408392,0.0014084363,0.0014084992,0.0014083353,0.0014083376,0.0014084756
25154,0.0014205202,0.0014205138,0.0014205222,0.0014205186,0.0014205632,0.0014203857,0.0014205651,0.0014205315
25155,0.0014202187,0.0014201708,0.0014202691,0.0014202284,0.0014202172,0.0014201074,0.0014200895,0.0014199535
25156,0.001412673,0.0014127704,0.0014127519,0.0014128236,0.0014125947,0.0014126574,0.0014127783,0.0014127591
25157,0.001410093,0.0014099057,0.0014098898,0.0014099869,0.001409965,0.0014098798,0.0014099824,0.0014099381
25158,0.0014104802,0.00141042,0.0014104598,0.0014104639,0.001410408,0.0014105283,0.001410334,0.0014104567
25159,0.0014134285,0.0014136835,0.0014133408,0.0014134529,0.00141331,0.0014133577,0.0014133421,0.0014133763
25160,0.0014153322,0.0014153873,0.0014153385,0.0014153612,0.0014152353,0.0014152038,0.0014153223,0.0014152256
25161,0.0014195961,0.001419658,0.0014193797,0.0014195582,0.0014195568,0.0014194526,0.0014194709,0.0014195639
25162,0.0014161004,0.0014160046,0.0014160688,0.0014161767,0.0014160407,0.0014161286,0.0014161336,0.0014160663
25163,0.0014200571,0.0014201334,0.0014200987,0.001420189,0.001420232,0.0014201512,0.0014201048,0.0014202355
25164,0.0014127776,0.0014128576,0.0014127853,0.0014127842,0.0014127231,0.0014128283,0.0014127357,0.0014128017
25165,0.0014114904,0.0014115025,0.0014115524,0.0014115183,0.0014113764,0.0014114089,0.0014115212,0.0014114319
25166,0.0014187958,0.0014187699,0.0014187304,0.0014187521,0.0014188731,0.0014188125,0.0014188901,0.0014188031
