,dec_1_drift_from_origin,dec_2_drift_from_origin,dec_3_drift_from_origin,dec_4_drift_from_origin,dec_5_drift_from_origin,dec_6_drift_from_origin,dec_7_drift_from_origin
156,-1.1920929e-07,4.7683716e-07,5.364418e-07,3.5762787e-07,7.1525574e-07,7.1525574e-07,2.3841858e-07
157,1.013279e-05,1.4901161e-05,1.9967556e-05,2.18153e-05,2.4795532e-05,2.5987625e-05,2.6226044e-05
158,2.092123e-05,2.193451e-05,2.6106834e-05,2.5868416e-05,2.4914742e-05,2.4795532e-05,2.7179718e-05
159,1.9669533e-06,1.9073486e-06,2.3245811e-06,2.8014183e-06,2.9802322e-06,3.3974648e-06,2.9206276e-06
160,3.2186508e-05,3.838539e-05,3.8087368e-05,4.094839e-05,4.2140484e-05,4.1127205e-05,4.208088e-05
161,2.3841858e-05,2.8848648e-05,3.4332275e-05,4.041195e-05,3.9100647e-05,4.4822693e-05,4.541874e-05
162,1.5199184e-05,1.5318394e-05,1.7046928e-05,1.5974045e-05,1.6093254e-05,1.8715858e-05,1.8119812e-05
163,9.918213e-05,9.447336e-05,0.000113129616,0.00010699034,0.000113904476,0.000110566616,0.00011712313
164,-2.3841858e-07,0.0,-8.34465e-07,-7.1525574e-07,-2.3841858e-07,-2.3841858e-07,-3.5762787e-07
165,3.0994415e-06,3.4570694e-06,3.695488e-06,3.695488e-06,3.8146973e-06,3.8146973e-06,4.5895576e-06
166,6.020069e-06,1.013279e-05,1.6331673e-05,2.014637e-05,2.4616718e-05,2.8014183e-05,3.0219555e-05
167,-1.1920929e-07,-2.3841858e-07,1.7881393e-07,-3.5762787e-07,2.3841858e-07,5.9604645e-08,-2.3841858e-07
168,1.0550022e-05,1.13248825e-05,1.2814999e-05,1.31726265e-05,1.2934208e-05,1.2874603e-05,1.5079975e-05
169,3.5762787e-06,4.172325e-06,4.172325e-06,4.2915344e-06,4.2915344e-06,5.185604e-06,4.2915344e-06
170,1.3113022e-06,3.3974648e-06,6.2584877e-06,8.106232e-06,1.013279e-05,1.090765e-05,1.2457371e-05
171,6.759167e-05,7.075071e-05,7.6174736e-05,7.891655e-05,8.070469e-05,8.147955e-05,8.3208084e-05
172,2.2053719e-06,2.0861626e-06,2.6226044e-06,2.8014183e-06,2.026558e-06,3.2186508e-06,2.682209e-06
173,3.0755997e-05,3.349781e-05,3.6478043e-05,3.772974e-05,3.349781e-05,3.671646e-05,3.71933e-05
174,7.790327e-05,7.945299e-05,9.4115734e-05,9.024143e-05,9.459257e-05,0.000100016594,0.00010240078
175,2.4616718e-05,2.6881695e-05,2.7060509e-05,2.759695e-05,2.6881695e-05,2.8550625e-05,2.7000904e-05
176,3.0994415e-06,6.735325e-06,1.2636185e-05,1.4543533e-05,1.6987324e-05,1.9311905e-05,2.092123e-05
177,2.682209e-06,4.2915344e-06,9.417534e-06,1.1861324e-05,1.3589859e-05,1.6450882e-05,1.5735626e-05
178,1.1146069e-05,1.2040138e-05,1.2397766e-05,1.3828278e-05,1.2218952e-05,1.4543533e-05,1.3887882e-05
179,1.66893e-06,4.7683716e-06,8.702278e-06,1.013279e-05,1.31726265e-05,1.5199184e-05,1.5258789e-05
180,2.3841858e-07,1.4901161e-06,4.7683716e-07,8.34465e-07,1.2516975e-06,1.3709068e-06,1.4305115e-06
181,7.748604e-07,1.2516975e-06,1.3113022e-06,1.2516975e-06,1.5497208e-06,2.2053719e-06,1.4305115e-06
182,2.3841858e-06,6.735325e-06,1.4305115e-05,1.7762184e-05,2.0742416e-05,2.4795532e-05,2.5093555e-05
183,1.7881393e-06,2.682209e-06,2.9802322e-06,2.9802322e-06,3.1590462e-06,2.9206276e-06,3.0994415e-06
184,3.4868717e-05,3.7908554e-05,4.184246e-05,4.184246e-05,3.9339066e-05,4.3034554e-05,4.1782856e-05
185,4.23193e-06,5.1259995e-06,9.715557e-06,1.1980534e-05,1.3649464e-05,1.5258789e-05,1.6152859e-05
186,2.6762486e-05,2.9981136e-05,3.2246113e-05,3.0636787e-05,3.33786e-05,3.3676624e-05,3.6120415e-05
