feature_id,llama32-3B-Instruct_ckpt_0_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_120_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_240_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_360_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_480_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_600_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_720_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_840_contrib_mean_scaled_with_decoder_norm
20247,0.708387076855,0.706632673740,0.712289512157,0.712198674679,0.715631127357,0.717859983444,0.717554986477,0.710653185844
20248,1.712623953819,1.721029043198,1.725378870964,1.728495359421,1.739513158798,1.731715440750,1.731365442276,1.733768582344
20249,0.791177928448,0.790755987167,0.784977138042,0.774302244186,0.781593918800,0.768111884594,0.764454126358,0.770790934563
20250,0.780939519405,0.780227780342,0.779658019543,0.792674064636,0.797830820084,0.790184497833,0.798257291317,0.797250986099
20251,0.794763505459,0.774824261665,0.763813912868,0.765109956264,0.769120693207,0.762451887131,0.764612376690,0.766085922718
20252,0.908413171768,0.903989136219,0.905370652676,0.892915129662,0.903402805328,0.893361151218,0.892658948898,0.889376044273
20253,0.788143754005,0.782604575157,0.782610476017,0.770409584045,0.775885343552,0.774167418480,0.765270471573,0.765244424343
20254,0.759422123432,0.761420428753,0.767291009426,0.765219688416,0.767767786980,0.767889559269,0.772940516472,0.763188004494
20255,0.788192093372,0.784168601036,0.789683043957,0.782864928246,0.787956714630,0.790896356106,0.795310378075,0.794916689396
20256,1.964551568031,1.953129529953,1.938833832741,1.938008904457,1.941048502922,1.922119259834,1.924934864044,1.923699736595
20257,0.750538408756,0.750144004822,0.743265867233,0.734331011772,0.742654561996,0.745007753372,0.746671378613,0.741759836674
20258,0.793870091438,0.782851397991,0.766764760017,0.763342738152,0.767157375813,0.768754065037,0.764875769615,0.767506599426
20259,0.773382127285,0.769372820854,0.770281374454,0.775676488876,0.787122488022,0.784210026264,0.788784027100,0.780723690987
20260,2.162007570267,2.154089927673,2.144748926163,2.132485389709,2.132728815079,2.132029294968,2.128153800964,2.125640153885
20261,0.757597625256,0.763831257820,0.753719568253,0.752075016499,0.758369565010,0.762404918671,0.762644946575,0.755857288837
20262,1.486416935921,1.490844368935,1.495641827583,1.497726082802,1.506404638290,1.507518410683,1.508233189583,1.508580088615
20263,0.707560360432,0.719079256058,0.726456820965,0.737196147442,0.742158353329,0.759957134724,0.764463245869,0.765877842903
20264,0.781244635582,0.784425497055,0.779204607010,0.779722750187,0.784599363804,0.801809132099,0.807065546513,0.810559630394
20265,0.714658081532,0.714924454689,0.715883195400,0.715974867344,0.732488691807,0.735813260078,0.735891163349,0.736266970634
20266,0.814378380775,0.811350464821,0.796763896942,0.787451744080,0.783380150795,0.767588019371,0.761482119560,0.759203374386
20267,0.772537410259,0.769515454769,0.748009204865,0.749638438225,0.754473030567,0.746680915356,0.740549385548,0.735164761543
20268,0.735103070736,0.730585634708,0.726542413235,0.719218194485,0.719757854939,0.726089537144,0.725743472576,0.722667396069
20269,1.360597848892,1.365273356438,1.374129652977,1.371885895729,1.378859043121,1.369038939476,1.362845063210,1.363376259804
20270,0.806933045387,0.799273848534,0.797042787075,0.793944418430,0.795475363731,0.807857692242,0.806264936924,0.813295006752
20271,0.734335720539,0.724123656750,0.706934869289,0.693448960781,0.697092950344,0.700479626656,0.702379822731,0.700540482998
20272,0.797367990017,0.797200560570,0.798229217529,0.792752683163,0.801836967468,0.802833855152,0.803673326969,0.804176449776
20273,0.773298680782,0.755401194096,0.749356806278,0.741005480289,0.743577122688,0.737315177917,0.737896680832,0.736527919769
20274,0.805830895901,0.804296612740,0.808425128460,0.792076051235,0.796859145164,0.792853236198,0.789793550968,0.788959503174
20275,0.780987083912,0.778293728828,0.771212100983,0.761458873749,0.769637346268,0.770597934723,0.769690513611,0.759338617325
20276,1.689447283745,1.695178270340,1.692684888840,1.693370580673,1.691573977470,1.686030149460,1.684267878532,1.664961576462
20277,0.721673309803,0.719179809093,0.706719219685,0.697786152363,0.705999612808,0.706931650639,0.702905774117,0.704236686230
20278,0.783728003502,0.800894796848,0.800206661224,0.809672951698,0.809497714043,0.804801642895,0.803025543690,0.794919669628
20279,0.820631206036,0.806985497475,0.810146450996,0.804248213768,0.816487371922,0.808049380779,0.805538713932,0.805268824100
20280,0.777631461620,0.771098256111,0.767825067043,0.769895732403,0.767991781235,0.795293807983,0.802222430706,0.808749079704
20281,0.720014512539,0.723519146442,0.730283796787,0.738917350769,0.743218719959,0.745398461819,0.754834353924,0.746326506138
20282,0.861490190029,0.849801898003,0.843979477882,0.827298104763,0.845128476620,0.835937976837,0.835076451302,0.844534993172
20283,0.788865506649,0.792230308056,0.786754786968,0.782846927643,0.780730426311,0.774585723877,0.768241345882,0.770237207413
20284,0.825092017651,0.817933440208,0.813564240932,0.809458553791,0.814736723900,0.809415280819,0.814273893833,0.807942926884
20285,0.762480854988,0.760854423046,0.756102561951,0.755256354809,0.768025815487,0.752484202385,0.756281375885,0.758214056492
20286,0.752358675003,0.751688003540,0.743565917015,0.747366309166,0.743669629097,0.744951188564,0.749660313129,0.752338230610
20287,0.723518908024,0.724840641022,0.724438846111,0.720027089119,0.722443640232,0.716560244560,0.720322012901,0.719734728336
20288,2.227049350739,2.236985206604,2.244741916656,2.248937368393,2.258107185364,2.250099182129,2.260160684586,2.252687931061
20289,0.724866867065,0.724489212036,0.724119126797,0.719361424446,0.728285312653,0.728226423264,0.727953135967,0.721620857716
20290,0.751442611217,0.742755174637,0.746736168861,0.725293338299,0.728616535664,0.738817751408,0.739757955074,0.740628600121
20291,1.606127977371,1.603204250336,1.598021388054,1.599161148071,1.599765658379,1.600206136703,1.597204446793,1.583182930946
20292,0.771455824375,0.767830312252,0.756586074829,0.750314950943,0.747998893261,0.745578944683,0.749341607094,0.742916166782
20293,0.816875755787,0.811667084694,0.811843454838,0.804043710232,0.808708131313,0.807512998581,0.803316771984,0.798023879528
20294,2.078602075577,2.075199127197,2.059972047806,2.056608200073,2.054674863815,2.045303106308,2.040144443512,2.035363674164
20295,1.603864431381,1.590343832970,1.578013181686,1.562615752220,1.566243052483,1.556083559990,1.547626018524,1.544769287109
