,dec_0_norm,dec_1_norm,dec_2_norm,dec_3_norm,dec_4_norm,dec_5_norm,dec_6_norm,dec_7_norm
37,0.9420868,0.9419794,0.9420484,0.94195926,0.9418259,0.94195974,0.94198215,0.94188637
38,0.89760846,0.8974351,0.89763826,0.8974471,0.89728373,0.8971747,0.897408,0.8972607
39,0.9086307,0.908585,0.90855104,0.90830916,0.90833616,0.90841746,0.9082165,0.9082424
40,0.69876987,0.69866097,0.6985289,0.6983868,0.6983865,0.69836676,0.69833446,0.6983063
41,0.7717685,0.77173406,0.771659,0.7716299,0.77160406,0.7716316,0.771597,0.7715831
42,0.96374273,0.96373165,0.963715,0.96369666,0.9636904,0.9636791,0.9636706,0.9636679
43,0.997006,0.9970043,0.9970057,0.9970022,0.9970043,0.9970049,0.9970036,0.9970039
44,0.8952953,0.89548975,0.895507,0.89515966,0.8951298,0.8950613,0.89504164,0.8951069
45,0.99137616,0.9913681,0.9913609,0.991363,0.99136657,0.99136525,0.9913534,0.9913598
46,0.7321069,0.7320205,0.73191494,0.7318203,0.7317716,0.7318037,0.73174554,0.73171633
47,0.8230364,0.8228963,0.823169,0.82235557,0.82262546,0.8226069,0.8225858,0.822361
48,0.8802856,0.8801939,0.88015145,0.87992024,0.87982297,0.8798939,0.8800151,0.8798391
49,0.882543,0.8827471,0.8827226,0.882431,0.88248026,0.8823073,0.88244843,0.88231105
50,0.9794836,0.9794844,0.97948265,0.97948146,0.9794788,0.9794776,0.97947705,0.9794763
51,0.9811749,0.9811769,0.9811775,0.9811813,0.98118055,0.98117805,0.9811803,0.98117864
52,0.76886076,0.7687659,0.76865596,0.76855844,0.76854974,0.7685131,0.76845074,0.76842064
53,0.82179904,0.8217527,0.8217184,0.82150173,0.8215652,0.8215677,0.82152486,0.8214705
54,0.9956358,0.99563104,0.99562603,0.9956229,0.99562573,0.99563056,0.99562365,0.995622
55,0.9185332,0.91840386,0.9183847,0.9182168,0.9182358,0.91818315,0.9182803,0.9182017
56,0.7907395,0.790708,0.79061806,0.7905559,0.790603,0.7906136,0.79057145,0.7905957
57,0.78217983,0.7820101,0.78189296,0.7818471,0.78181344,0.7818135,0.78184164,0.78178346
58,0.94601494,0.94599825,0.94589704,0.9458322,0.9458654,0.9458827,0.9458332,0.94579947
59,0.98529583,0.98529935,0.98529977,0.9852983,0.98529625,0.9853024,0.9853017,0.9852999
60,0.80324495,0.8031765,0.80300003,0.80289286,0.8029581,0.80292284,0.80288273,0.8028166
61,0.98431116,0.98430854,0.9843032,0.98429865,0.9842976,0.9843053,0.9843032,0.9843115
62,0.99592376,0.9959246,0.9959235,0.9959204,0.9959206,0.9959218,0.99591774,0.99591786
63,0.96785825,0.96786076,0.9678648,0.9678653,0.9678634,0.9678655,0.9678664,0.96786815
64,0.9066848,0.9067595,0.9067041,0.9065668,0.9064516,0.90654486,0.90646744,0.90639967
65,0.8640388,0.86419356,0.8640522,0.8638798,0.8637962,0.863798,0.86384314,0.86360705
66,0.9610549,0.9611114,0.9610171,0.9609764,0.9609742,0.96098775,0.96097594,0.9609809
67,0.93716264,0.93713874,0.93713546,0.9369472,0.9369572,0.9369391,0.9369644,0.9368844
68,0.7588209,0.7587126,0.7585905,0.75850594,0.7584732,0.75849324,0.7584711,0.7584755
69,0.9870623,0.9870627,0.987062,0.9870611,0.9870601,0.9870599,0.98706114,0.987061
70,0.7987783,0.79867446,0.7985031,0.79845077,0.7983655,0.7983949,0.79841536,0.79838365
71,0.95566505,0.95565593,0.95564115,0.95559275,0.95554835,0.95559454,0.9555312,0.95549047
72,0.96010196,0.9600814,0.96009433,0.95999074,0.9599798,0.95994955,0.9599352,0.9599199
73,0.9389784,0.93892264,0.9388559,0.93889266,0.93885636,0.9388506,0.9388247,0.9388248
74,0.9141767,0.91421217,0.91411513,0.914054,0.9140099,0.91404426,0.91388804,0.9139242
75,0.75130385,0.75120205,0.75110734,0.75097966,0.7509959,0.7510272,0.7509701,0.750935
76,0.8931646,0.89305496,0.8930528,0.89261246,0.89274126,0.89265376,0.89264274,0.8926506
77,0.8701398,0.87007207,0.86999387,0.8695101,0.8698374,0.8696633,0.86953664,0.8697095
78,0.97661966,0.97661924,0.97661847,0.97662085,0.9766219,0.9766223,0.9766239,0.97662544
79,0.8795468,0.87961656,0.87957025,0.8792682,0.8790607,0.87920314,0.87918794,0.8791552
80,0.7712038,0.77107793,0.77095866,0.7709006,0.7708787,0.77085257,0.77084583,0.77086735
81,0.90188986,0.9019404,0.90187645,0.9016995,0.9016712,0.90180016,0.90166944,0.90162474
82,0.90853125,0.90860087,0.9086345,0.9082367,0.9082644,0.90827036,0.90834165,0.90825266
83,0.7053476,0.705203,0.7050743,0.7049321,0.7049024,0.7049406,0.704889,0.70484376
84,0.98309547,0.9830942,0.9830934,0.98309356,0.9830933,0.983093,0.9830897,0.9830929
85,0.9969837,0.9969826,0.9969809,0.9969781,0.9969808,0.99697924,0.9969788,0.99697727
