feature_id,llama32-3B-Instruct_ckpt_0_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_120_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_240_contrib_mean_scaled_with_decoder_norm,llama32-3B-Instruct_ckpt_360_contrib_mean_scaled_with_decoder_norm
72254,0.021357718855,0.019928434864,0.020532988012,0.021686531603
72255,0.020637150854,0.013467603363,0.011687752791,0.009310846217
72256,0.006755352020,0.003737130668,0.003480210202,0.003249972826
72257,0.005490006879,0.001838124474,0.001248493558,0.001126326737
72258,0.027666147798,0.024723440409,0.024211926386,0.023525955155
72259,0.017056461424,0.016033858061,0.015919711441,0.016491208225
72260,0.016446866095,0.012040116824,0.009475423954,0.008625268005
72261,0.014401146211,0.010867039673,0.010618142784,0.010146170855
72262,0.026891371235,0.022436026484,0.022831903771,0.021844075993
72263,0.027062425390,0.024365941063,0.023506252095,0.022391039878
72264,0.025307327509,0.023778632283,0.025050740689,0.025002945215
72265,0.015639074147,0.012207255699,0.012291940860,0.012229346670
72266,0.010340735316,0.004253184889,0.002983238548,0.003052221844
72267,0.026572395116,0.022001743317,0.022258827463,0.022050345317
72268,0.022025622427,0.018521618098,0.018081696704,0.017969604582
72269,0.024731926620,0.022831849754,0.023391837254,0.024424802512
72270,0.017297154292,0.015901397914,0.017584340647,0.018545374274
72271,0.020511446521,0.018236692995,0.018157573417,0.017529936507
72272,0.018637701869,0.016005318612,0.017957378179,0.017933988944
72273,0.028016380966,0.025634955615,0.026368593797,0.026617893949
72274,0.030937492847,0.028781013563,0.028845012188,0.028432082385
72275,0.025251511484,0.023262852803,0.023665331304,0.023683387786
72276,0.033692169935,0.031360536814,0.031850006431,0.031942386180
72277,0.009011023678,0.006076828577,0.006100488827,0.005145965144
72278,0.022196456790,0.016541413963,0.014270784333,0.013785055839
72279,0.024964824319,0.022284880280,0.023212976754,0.022520130500
72280,0.004889925011,0.001475594589,0.002024983754,0.002287704498
72281,0.005478728563,0.002151064808,0.001170254312,0.001283398014
72282,0.021239202470,0.018292546272,0.018183819950,0.017061518505
72283,0.020546203479,0.015070074238,0.012442232110,0.011513531208
72284,0.024983186275,0.022839326411,0.019907904789,0.019074108452
72285,0.031826175749,0.029326215386,0.027734698728,0.028749480844
72286,0.005462192465,0.000828954682,0.001257693511,0.002116411459
72287,0.028999956325,0.026760358363,0.025878138840,0.026018360630
72288,0.016294974834,0.012688051909,0.012590130791,0.011975291185
72289,0.027049971744,0.024617211893,0.023852150887,0.023361353204
72290,0.027391182259,0.023538926616,0.022723810747,0.021700093523
72291,0.031136956066,0.028812369332,0.027293423191,0.028023025021
72292,0.020677192137,0.017670622095,0.016703508794,0.016026923433
72293,0.008646089584,0.005772158038,0.006375114433,0.007121548522
72294,0.020405022427,0.018270313740,0.018254721537,0.017539000139
72295,0.016586355865,0.012346817181,0.010891312733,0.011045420542
72296,0.019094305113,0.017089204863,0.017600864172,0.018075635657
72297,0.010101955384,0.008763459511,0.010652922094,0.010702647269
72298,0.014667179435,0.013211900368,0.014538162388,0.014661742374
72299,0.006798710208,0.004099852871,0.004469553009,0.004519917071
72300,0.030897844583,0.028892323375,0.030049718916,0.029657287523
72301,0.028109524399,0.027463115752,0.027937445790,0.028996443376
72302,0.028235055506,0.025422712788,0.024184718728,0.024351516739
72303,0.024017641321,0.022687315941,0.023872412741,0.023734664544
72304,0.005943106953,0.000488157413,0.001137494575,0.002049623290
72305,0.008161407895,0.006855321582,0.006464620121,0.005970223807
72306,0.027628356591,0.024896239862,0.025344818830,0.025137349963
72307,0.005823917221,0.001833599876,0.002189802239,0.002320107538
72308,0.007795408834,0.002624935238,0.001828463981,0.002150622429
72309,0.021977990866,0.018090328202,0.017497856170,0.017292166129
72310,0.033540941775,0.031614843756,0.032747562975,0.033951207995
72311,0.019821505994,0.017856026068,0.018705086783,0.019501151517
72312,0.032015796751,0.029333207756,0.028920684010,0.029828011990
72313,0.017850585282,0.011437266134,0.009617028758,0.009537290782
72314,0.021900421008,0.016239129007,0.016476754099,0.016066472977
72315,0.012420949526,0.008666714653,0.009101143107,0.008720379323
72316,0.023683827370,0.021212425083,0.020001878962,0.019799208269
72317,0.028471983969,0.027483357117,0.028885278851,0.028696326539
72318,0.020695345476,0.018276527524,0.018793515861,0.018161686137
72319,0.017030272633,0.012520138174,0.010302214883,0.009993412532
72320,0.029976962134,0.028316719458,0.028722543269,0.028681596741
