feature_id,llama32-3B-Instruct_ckpt_0_contrib_mean,llama32-3B-Instruct_ckpt_120_contrib_mean,llama32-3B-Instruct_ckpt_240_contrib_mean,llama32-3B-Instruct_ckpt_360_contrib_mean
106,0.090371705592,0.083830282092,0.084635905921,0.085663914680
107,0.000239443194,0.000016076197,0.000025490317,0.000045976656
108,0.049766439945,0.036481451243,0.035638835281,0.032821204513
109,0.003899743548,0.000724894460,0.001659749658,0.004387752619
110,0.099579304457,0.090141236782,0.092698246241,0.090713009238
111,0.090252988040,0.073931790888,0.071964502335,0.067818410695
112,0.088808745146,0.077485315502,0.077706418931,0.075406588614
113,0.088823318481,0.076511792839,0.074392847717,0.074467241764
114,0.122759029269,0.112599305809,0.110939666629,0.111415073276
115,0.075995698571,0.062771275640,0.054931726307,0.050751045346
116,0.007706111763,0.000656167686,0.000437292940,0.000636157929
117,0.089645177126,0.078513503075,0.075404345989,0.073905900121
118,0.108476743102,0.093229196966,0.092342056334,0.090886227787
119,0.007080715615,0.000893448014,0.001502436236,0.002117844764
120,0.091921962798,0.083587095141,0.087809801102,0.084923043847
121,0.112516351044,0.095326475799,0.093395464122,0.093478985131
122,0.096232198179,0.085920169950,0.085309639573,0.085802562535
123,0.113034330308,0.100954480469,0.099799565971,0.106920085847
124,0.144830167294,0.138123959303,0.139559879899,0.138868436217
125,0.112715058029,0.101750768721,0.104188844562,0.104890868068
126,0.117903240025,0.111920818686,0.115950219333,0.112445190549
127,0.079848393798,0.072248578072,0.069504022598,0.071975931525
128,0.140753507614,0.133868768811,0.123439602554,0.124163314700
129,0.094061478972,0.086528085172,0.078491620719,0.075394332409
130,0.060553804040,0.050582420081,0.051879350096,0.051178142428
131,0.019853480160,0.006383609027,0.002096614800,0.003019947326
132,0.077316597104,0.059987053275,0.054915487766,0.054876539856
133,0.077075146139,0.068574406207,0.073488421738,0.073082253337
134,0.109819456935,0.098167322576,0.097048558295,0.096467360854
135,0.033902894706,0.014376217499,0.010439636186,0.011986219324
136,0.107780925930,0.092425994575,0.085036464036,0.082605473697
137,0.016799477860,0.008012983948,0.006855623797,0.008701500483
138,0.016967860982,0.005979606882,0.005083293188,0.008730563335
139,0.104282163084,0.093063354492,0.090031228960,0.091624297202
140,0.101110272110,0.094303250313,0.097498983145,0.099761456251
141,0.002915432677,0.000055668774,0.000569049793,0.000745835307
142,0.006627805065,0.000978235854,0.000989840017,0.002745204605
143,0.118605941534,0.102843023837,0.103981077671,0.100605264306
144,0.127209857106,0.116604529321,0.116201147437,0.117566831410
145,0.113577142358,0.098532930017,0.097841165960,0.097187623382
146,0.045181762427,0.027324732393,0.023716745898,0.024250937626
147,0.074592091143,0.069825895131,0.070104315877,0.066085502505
148,0.104818984866,0.095575995743,0.096732012928,0.099851109087
149,0.014682240784,0.005099477246,0.005879010540,0.006338084582
150,0.003689834848,0.000295696256,0.000856062979,0.001489581773
151,0.162805721164,0.148202657700,0.144922584295,0.144530400634
152,0.154596492648,0.148852050304,0.149159610271,0.149205356836
153,0.107423119247,0.101262465119,0.105092458427,0.100672803819
154,0.017554655671,0.005095785484,0.001316650538,0.000709576998
155,0.148278310895,0.139152809978,0.135031297803,0.131782606244
156,0.133196040988,0.123883374035,0.126311555505,0.124343276024
157,0.073732227087,0.068565540016,0.078022338450,0.076646752656
158,0.025977555662,0.022612834349,0.024337673560,0.023852640763
159,0.152582108974,0.137224331498,0.135975673795,0.135831847787
160,0.087629050016,0.076062731445,0.076577559114,0.076837256551
161,0.024982936680,0.011158422567,0.003817681689,0.004645125475
162,0.047253217548,0.027465831488,0.030415780842,0.029775232077
