,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm,dec_4_self_dot_ratio_norm,dec_5_self_dot_ratio_norm,dec_6_self_dot_ratio_norm,dec_7_self_dot_ratio_norm,dec_8_self_dot_ratio_norm,dec_9_self_dot_ratio_norm,dec_10_self_dot_ratio_norm,dec_11_self_dot_ratio_norm,dec_12_self_dot_ratio_norm,dec_13_self_dot_ratio_norm,dec_14_self_dot_ratio_norm,dec_15_self_dot_ratio_norm
10,0.014248832,0.014239919,0.014239704,0.014250422,0.014244057,0.014248958,0.014252874,0.014246678,0.014248768,0.014243406,0.014246392,0.0142419925,0.014239817,0.014241923,0.014245348,0.0142379105
11,0.01432801,0.014329597,0.01433419,0.014331633,0.014329185,0.014330869,0.014334043,0.014331737,0.014332546,0.014330724,0.01433099,0.014330988,0.014331279,0.014335458,0.014332482,0.014329202
12,0.014344487,0.014345788,0.014343591,0.014341972,0.014344972,0.014343176,0.0143445,0.014342838,0.014341782,0.0143452035,0.014342099,0.014345712,0.014342532,0.014346323,0.014342223,0.014340031
13,0.014277349,0.014280192,0.014282714,0.014279706,0.014280024,0.014277579,0.014282469,0.0142794205,0.014279562,0.014279521,0.014277567,0.014279776,0.014278564,0.0142797595,0.014281394,0.01428162
14,0.0142158205,0.014213232,0.014212919,0.01421223,0.014211527,0.0142107755,0.014214045,0.014210709,0.014215218,0.01421479,0.014213658,0.014212398,0.014213722,0.01421147,0.014217845,0.014212557
15,0.014337314,0.01434214,0.014341882,0.014335094,0.014339877,0.014334611,0.014343601,0.01434074,0.0143394405,0.0143431015,0.014342508,0.014345375,0.014340288,0.014339056,0.0143433,0.014345503
16,0.014185081,0.014181356,0.01419411,0.014191673,0.014191052,0.0141888615,0.014173182,0.014183148,0.014181497,0.014191184,0.014183514,0.014185325,0.014184178,0.01418672,0.014177517,0.014186562
17,0.01435531,0.0143520385,0.014355246,0.014357105,0.014354895,0.014355161,0.014353377,0.014356585,0.0143524,0.014353349,0.014358082,0.014355536,0.014353541,0.014351335,0.01435296,0.014352744
18,0.014361558,0.014356837,0.014360778,0.014358207,0.014363111,0.014354567,0.014354914,0.014358276,0.014360165,0.014360046,0.014358422,0.01436147,0.014363871,0.014356247,0.014353166,0.014363639
19,0.014363048,0.014364589,0.014360821,0.014363322,0.01436282,0.014361647,0.01436209,0.014360317,0.014363114,0.014363558,0.014363296,0.014360599,0.01436484,0.014363933,0.014362937,0.014363458
20,0.014338749,0.014338127,0.014335581,0.014340456,0.014339245,0.01433837,0.014339958,0.014339189,0.014335858,0.014339613,0.014343396,0.014340217,0.014339366,0.014336993,0.014338212,0.014340775
21,0.014379605,0.014380541,0.014378628,0.014376959,0.014384479,0.014378806,0.01438141,0.014380431,0.014377461,0.014378242,0.014381216,0.014377575,0.0143799875,0.014381829,0.014378332,0.014378153
