,dec_0_self_dot_ratio_norm,dec_1_self_dot_ratio_norm,dec_2_self_dot_ratio_norm,dec_3_self_dot_ratio_norm,dec_4_self_dot_ratio_norm,dec_5_self_dot_ratio_norm,dec_6_self_dot_ratio_norm,dec_7_self_dot_ratio_norm,dec_8_self_dot_ratio_norm,dec_9_self_dot_ratio_norm,dec_10_self_dot_ratio_norm,dec_11_self_dot_ratio_norm,dec_12_self_dot_ratio_norm,dec_13_self_dot_ratio_norm,dec_14_self_dot_ratio_norm,dec_15_self_dot_ratio_norm
33,0.0018779967,0.0018776129,0.0018777844,0.0018777578,0.0018776396,0.0018777,0.001878557,0.001877766,0.0018773406,0.0018777924,0.0018774632,0.0018782297,0.0018773229,0.0018785795,0.0018779205,0.0018776456
34,0.0018829628,0.0018830879,0.0018826803,0.001883072,0.0018825763,0.0018829564,0.0018830606,0.0018826259,0.0018836805,0.0018831907,0.0018829636,0.0018827284,0.0018834166,0.0018831743,0.0018830895,0.0018825874
35,0.0018827426,0.0018828418,0.0018831952,0.0018830076,0.0018831663,0.0018827184,0.0018832254,0.001883357,0.0018833498,0.0018831297,0.0018831098,0.0018832294,0.0018826937,0.0018835829,0.0018828785,0.001883473
36,0.0018831654,0.0018835531,0.0018834264,0.001883452,0.0018829857,0.0018833975,0.0018837736,0.0018835182,0.0018835085,0.0018835389,0.0018836887,0.0018828026,0.0018831525,0.0018833035,0.0018831594,0.0018833025
37,0.0018917524,0.0018923503,0.0018924756,0.0018924709,0.0018921421,0.0018924449,0.0018923606,0.0018930682,0.0018927357,0.0018924604,0.0018927602,0.0018925001,0.0018926031,0.0018925293,0.0018927377,0.0018922237
38,0.0018867613,0.0018866942,0.0018871599,0.0018867679,0.0018871168,0.0018874641,0.0018871976,0.0018870346,0.0018861234,0.001886362,0.0018867664,0.0018866532,0.0018867779,0.0018870977,0.0018864828,0.0018866835
39,0.001883649,0.0018828197,0.0018831308,0.0018829465,0.0018827758,0.0018830791,0.0018833609,0.0018828454,0.0018831373,0.0018827642,0.0018832003,0.0018833348,0.001882997,0.0018830632,0.0018829483,0.0018829551
40,0.0018836004,0.0018834509,0.0018833801,0.0018833486,0.0018835891,0.0018837957,0.001883472,0.0018830076,0.0018835682,0.001883841,0.0018831935,0.0018840011,0.0018839681,0.0018836113,0.0018836259,0.0018835261
41,0.0018791741,0.0018788654,0.0018791681,0.0018790542,0.0018793194,0.00187928,0.0018790504,0.0018790524,0.0018795198,0.0018792371,0.0018791986,0.0018790843,0.0018789691,0.0018790524,0.0018788099,0.001879314
42,0.0018848864,0.00188555,0.0018844964,0.0018854121,0.0018852092,0.0018850123,0.0018844777,0.0018848063,0.0018850415,0.001885338,0.0018851266,0.0018846105,0.0018848904,0.0018847946,0.0018849599,0.001885207
43,0.0018953015,0.0018959566,0.0018951719,0.0018958634,0.0018946977,0.001895553,0.0018952991,0.001895217,0.0018950906,0.0018946445,0.0018947518,0.001894987,0.0018954776,0.001895708,0.0018953262,0.0018948925
44,0.001884522,0.0018857388,0.0018851775,0.0018848763,0.0018853362,0.0018858364,0.001885187,0.0018862396,0.0018856847,0.0018857506,0.0018857893,0.001885847,0.0018859316,0.0018857139,0.0018853139,0.0018854841
45,0.001892371,0.0018926525,0.0018918285,0.001892289,0.0018924518,0.0018922117,0.0018925486,0.0018921945,0.0018921559,0.0018923583,0.0018924365,0.0018922453,0.0018923702,0.001892714,0.0018924328,0.0018924746
46,0.0018829585,0.001883021,0.0018824759,0.0018833533,0.0018828798,0.0018827409,0.0018823957,0.0018827413,0.0018827309,0.0018830217,0.0018826958,0.0018827781,0.0018827551,0.0018825822,0.0018830622,0.001882695
47,0.0019037158,0.001903271,0.001903214,0.0019032551,0.0019036005,0.0019034245,0.0019032239,0.0019036466,0.0019036577,0.0019033387,0.0019034371,0.0019035698,0.0019036345,0.0019035983,0.0019033707,0.0019032976
