,dec_1_drift_from_origin,dec_2_drift_from_origin,dec_3_drift_from_origin,dec_4_drift_from_origin,dec_5_drift_from_origin,dec_6_drift_from_origin,dec_7_drift_from_origin
11429,8.940697e-06,1.2040138e-05,1.4543533e-05,1.6510487e-05,1.5676022e-05,1.847744e-05,1.5974045e-05
11430,-1.1920929e-07,1.1920929e-07,-1.1920929e-07,0.0,1.3113022e-06,1.1920929e-06,3.5762787e-07
11431,7.987022e-06,1.5258789e-05,2.3007393e-05,2.7239323e-05,3.2126904e-05,3.7550926e-05,3.5464764e-05
11432,1.1920929e-07,3.5762787e-07,4.7683716e-07,1.4901161e-06,1.7285347e-06,9.536743e-07,2.1457672e-06
11433,6.020069e-06,1.3053417e-05,2.3007393e-05,2.861023e-05,3.2901764e-05,3.838539e-05,3.695488e-05
11434,4.172325e-07,6.556511e-07,6.556511e-07,1.1324883e-06,7.748604e-07,2.3841858e-07,2.9802322e-07
11435,-3.5762787e-07,-3.5762787e-07,4.172325e-07,5.9604645e-08,4.172325e-07,1.0728836e-06,1.1920929e-07
11436,4.172325e-06,3.7550926e-06,4.7683716e-06,5.066395e-06,5.2452087e-06,5.90086e-06,4.827976e-06
11437,-9.536743e-07,4.7683716e-07,-1.1920929e-07,5.9604645e-07,-1.1920929e-07,-8.34465e-07,-5.9604645e-07
11438,4.172325e-07,1.66893e-06,1.2516975e-06,1.9669533e-06,2.3841858e-06,1.6093254e-06,1.3709068e-06
11439,1.7881393e-06,1.6093254e-06,1.0728836e-06,2.6226044e-06,2.0861626e-06,1.4901161e-06,1.847744e-06
11440,1.3053417e-05,1.5079975e-05,1.5676022e-05,1.7106533e-05,1.9192696e-05,2.0980835e-05,1.5854836e-05
11441,6.914139e-06,9.715557e-06,9.953976e-06,1.1742115e-05,1.3709068e-05,1.40070915e-05,1.0669231e-05
11442,4.7683716e-07,3.5762787e-07,7.1525574e-07,8.940697e-07,0.0,1.1324883e-06,3.5762787e-07
11443,2.3841858e-07,-4.7683716e-07,-9.536743e-07,-1.0728836e-06,-5.9604645e-07,-7.1525574e-07,-5.9604645e-07
11444,7.0929527e-06,9.417534e-06,1.0550022e-05,1.180172e-05,1.3053417e-05,1.5199184e-05,1.1146069e-05
11445,4.7683716e-06,1.9013882e-05,3.5762787e-05,4.5776367e-05,5.3942204e-05,6.246567e-05,6.258488e-05
11446,1.347065e-05,1.3947487e-05,1.7881393e-05,1.8835068e-05,2.0682812e-05,2.3663044e-05,1.9133091e-05
11447,1.1920929e-05,1.4066696e-05,1.5616417e-05,1.7225742e-05,1.7225742e-05,1.9311905e-05,1.5676022e-05
11448,5.1259995e-06,1.347065e-05,2.4974346e-05,3.08156e-05,3.361702e-05,3.9935112e-05,3.9935112e-05
11449,-2.3841858e-07,1.1920929e-07,-2.3841858e-07,4.172325e-07,5.364418e-07,4.7683716e-07,-1.1920929e-07
11450,5.6624413e-06,7.1525574e-06,8.404255e-06,7.927418e-06,8.583069e-06,1.0311604e-05,9.000301e-06
11451,8.34465e-07,1.3709068e-06,1.013279e-06,8.34465e-07,9.536743e-07,1.1324883e-06,7.748604e-07
11452,9.298325e-06,1.1086464e-05,1.2695789e-05,1.5079975e-05,1.4305115e-05,1.7166138e-05,1.2874603e-05
11453,8.34465e-07,1.3709068e-06,6.556511e-07,1.1920929e-06,1.9669533e-06,1.3709068e-06,1.4901161e-06
11454,-4.7683716e-07,2.3841858e-07,-2.3841858e-07,0.0,-7.1525574e-07,-2.3841858e-07,1.7881393e-07
11455,5.4001808e-05,5.555153e-05,5.0663948e-05,6.1273575e-05,7.69496e-05,8.404255e-05,6.15716e-05
11456,5.9604645e-08,-3.5762787e-07,2.3841858e-07,7.1525574e-07,1.7881393e-07,4.172325e-07,1.1920929e-07
11457,3.8146973e-06,1.0371208e-05,1.9311905e-05,2.4795532e-05,2.6226044e-05,3.0398369e-05,2.9146671e-05
11458,6.556511e-06,1.513958e-05,2.7060509e-05,3.504753e-05,3.9219856e-05,4.6908855e-05,4.5835972e-05
11459,1.6093254e-06,2.682209e-06,2.9802322e-06,2.3841858e-06,3.4570694e-06,3.8146973e-06,3.3974648e-06
11460,6.556511e-07,8.34465e-07,1.66893e-06,7.1525574e-07,1.1324883e-06,1.4305115e-06,1.66893e-06
11461,1.2695789e-05,1.5854836e-05,2.1100044e-05,2.270937e-05,2.169609e-05,2.6345253e-05,2.360344e-05
11462,9.775162e-06,1.3589859e-05,1.335144e-05,1.3828278e-05,1.5735626e-05,1.8179417e-05,1.31726265e-05
11463,3.9339066e-06,1.0848045e-05,1.8835068e-05,2.2768974e-05,2.7656555e-05,3.2305717e-05,3.4093857e-05
11464,5.4836273e-06,1.8179417e-05,3.3676624e-05,4.5895576e-05,4.9114227e-05,5.6803226e-05,5.4061413e-05
11465,5.364418e-07,2.3841858e-07,2.9802322e-07,-3.5762787e-07,2.9802322e-07,6.556511e-07,3.5762787e-07
11466,3.59416e-05,3.7550926e-05,4.518032e-05,4.976988e-05,5.6624413e-05,6.67572e-05,4.786253e-05
11467,2.0325184e-05,2.6404858e-05,3.0755997e-05,3.5643578e-05,3.5583973e-05,4.1484833e-05,3.516674e-05
11468,5.364418e-07,-2.3841858e-07,-2.3841858e-07,2.3841858e-07,3.5762787e-07,-2.3841858e-07,1.1920929e-07
11469,8.583069e-06,1.1146069e-05,1.21593475e-05,1.3232231e-05,1.5258789e-05,1.92523e-05,1.4901161e-05
11470,5.6028366e-06,1.2636185e-05,2.2172928e-05,2.69413e-05,3.08156e-05,3.4689903e-05,3.552437e-05
11471,3.7550926e-06,4.827976e-06,4.4107437e-06,4.7683716e-06,4.827976e-06,6.198883e-06,4.4107437e-06
11472,4.053116e-06,4.7683716e-06,5.364418e-06,7.2717667e-06,7.56979e-06,7.688999e-06,7.6293945e-06
11473,5.1259995e-06,1.5974045e-05,3.0219555e-05,3.7789345e-05,4.4047832e-05,5.1617622e-05,5.042553e-05
11474,1.090765e-05,1.3709068e-05,1.591444e-05,1.5079975e-05,1.6987324e-05,1.8000603e-05,1.3232231e-05
11475,2.7477741e-05,3.552437e-05,4.2915344e-05,4.9173832e-05,6.2286854e-05,6.955862e-05,6.0796738e-05
11476,1.9609928e-05,2.5331974e-05,2.9325485e-05,3.528595e-05,3.516674e-05,3.6597252e-05,3.2126904e-05
11477,7.0929527e-06,1.6391277e-05,2.7179718e-05,3.4749508e-05,4.005432e-05,4.6491623e-05,4.4941902e-05
11478,6.020069e-06,6.67572e-06,8.46386e-06,1.013279e-05,9.536743e-06,1.21593475e-05,9.000301e-06
11479,8.940697e-06,1.13248825e-05,1.347065e-05,1.424551e-05,1.3530254e-05,1.7642975e-05,1.3768673e-05
11480,1.8239021e-05,2.0086765e-05,2.5570393e-05,2.7000904e-05,2.8669834e-05,3.2365322e-05,2.5391579e-05
11481,7.0929527e-06,2.014637e-05,3.5643578e-05,4.607439e-05,5.1677227e-05,6.0260296e-05,5.6028366e-05
11482,1.1920929e-06,6.556511e-07,7.1525574e-07,7.1525574e-07,3.5762787e-07,6.556511e-07,6.556511e-07
11483,1.7881393e-07,0.0,-3.5762787e-07,-4.7683716e-07,7.1525574e-07,2.9802322e-07,9.536743e-07
11484,2.8967857e-05,3.4928322e-05,3.7789345e-05,4.976988e-05,5.441904e-05,5.364418e-05,4.643202e-05
11485,1.603365e-05,1.7404556e-05,2.0325184e-05,2.4557114e-05,2.2530556e-05,2.4616718e-05,1.8656254e-05
11486,1.1920929e-07,1.013279e-06,2.3841858e-07,8.940697e-07,1.0728836e-06,9.536743e-07,1.1920929e-07
11487,1.0192394e-05,1.4722347e-05,1.680851e-05,1.937151e-05,2.0503998e-05,2.4437904e-05,1.9609928e-05
11488,4.5895576e-06,1.3709068e-05,2.2232533e-05,2.7060509e-05,3.3915043e-05,3.8087368e-05,3.71933e-05
11489,-1.1920929e-07,-2.3841858e-07,-1.1920929e-07,2.3841858e-07,6.556511e-07,5.364418e-07,5.9604645e-07
11490,-3.5762787e-07,-5.9604645e-07,-5.9604645e-07,-1.1920929e-07,-2.3841858e-07,-2.3841858e-07,-2.3841858e-07
11491,6.3180923e-06,8.46386e-06,9.536743e-06,1.04904175e-05,1.1205673e-05,1.257658e-05,1.090765e-05
11492,9.000301e-06,1.21593475e-05,1.5258789e-05,1.6570091e-05,1.7881393e-05,2.0384789e-05,1.7464161e-05
11493,-5.9604645e-07,-2.3841858e-07,-4.7683716e-07,-4.7683716e-07,-2.3841858e-07,-4.7683716e-07,-1.1920929e-07
11494,8.940697e-06,1.1920929e-05,1.3828278e-05,1.347065e-05,1.4662743e-05,1.6450882e-05,1.40070915e-05
11495,6.1392784e-06,8.6426735e-06,1.1205673e-05,1.1861324e-05,1.2278557e-05,1.2934208e-05,1.13248825e-05
11496,2.3841858e-07,6.556511e-07,5.9604645e-07,7.748604e-07,2.3841858e-07,7.748604e-07,5.364418e-07
11497,1.0848045e-05,1.3768673e-05,1.6152859e-05,1.7523766e-05,1.8179417e-05,2.0503998e-05,1.7642975e-05
11498,2.7358532e-05,3.2305717e-05,4.029274e-05,4.3451786e-05,4.7564507e-05,5.0723553e-05,4.3451786e-05
11499,5.066395e-06,5.4240227e-06,6.020069e-06,7.927418e-06,7.212162e-06,9.357929e-06,6.556511e-06
11500,5.1259995e-06,7.390976e-06,8.583069e-06,9.417534e-06,1.0550022e-05,1.1444092e-05,1.0550022e-05
11501,1.8954277e-05,2.8192997e-05,3.5643578e-05,4.297495e-05,5.733967e-05,6.055832e-05,5.6266785e-05
