,dec_0_norm,dec_1_norm,dec_2_norm,dec_3_norm,dec_4_norm,dec_5_norm,dec_6_norm,dec_7_norm
31,0.8432926,0.8429126,0.8426475,0.8425249,0.84251565,0.8423629,0.8421976,0.84223145
32,0.96279585,0.9627842,0.96277577,0.962769,0.962773,0.96276724,0.96275395,0.9627566
33,0.8432333,0.8431501,0.8428515,0.84265697,0.8426929,0.84263957,0.8423683,0.842507
34,0.8000751,0.79987127,0.79949445,0.7993726,0.7992817,0.79913294,0.7988667,0.7988903
35,0.74517316,0.7449716,0.7446639,0.7445095,0.7444514,0.7443925,0.74426275,0.7442602
36,0.7516289,0.75143284,0.75123835,0.7510789,0.75098425,0.750916,0.75075686,0.75075877
37,0.9296463,0.9295325,0.92940325,0.92930245,0.9293338,0.9292737,0.9291574,0.9291996
38,0.8785466,0.8783275,0.8781029,0.8780555,0.87799054,0.87802476,0.87784564,0.8779327
39,0.8397252,0.83964413,0.83936614,0.8391572,0.8391383,0.8390138,0.8388277,0.8389308
40,0.6862626,0.68606436,0.6857563,0.68563175,0.68559265,0.68538386,0.6852532,0.68523234
41,0.7823574,0.7821392,0.7819429,0.7818035,0.7817966,0.7816002,0.78146803,0.7814475
42,0.9301621,0.93005437,0.9299336,0.9298602,0.92987746,0.9298036,0.92973554,0.92974764
43,0.986339,0.986336,0.98633516,0.9863345,0.9863293,0.9863294,0.9863307,0.9863305
44,0.86072713,0.8603885,0.8601503,0.86002547,0.8601063,0.859947,0.8597155,0.85985374
45,0.97826976,0.9782595,0.9782496,0.9782455,0.97824717,0.97824013,0.9782345,0.97823685
46,0.74446726,0.74429446,0.74406177,0.74394375,0.74390566,0.7437852,0.74369955,0.74367183
47,0.78064966,0.7802583,0.7799692,0.7796272,0.7798074,0.7797015,0.7793309,0.77965444
48,0.80652124,0.8062609,0.80603105,0.80581677,0.8058167,0.8057425,0.80567825,0.8056159
49,0.85809857,0.8578618,0.8575217,0.8574286,0.85741425,0.85734177,0.85716194,0.8571994
50,0.9622514,0.9622588,0.9622711,0.96227396,0.9622719,0.96228254,0.9622856,0.96228486
51,0.9581587,0.9581628,0.9581676,0.9581674,0.9581659,0.9581688,0.95817167,0.9581719
52,0.77511966,0.77485895,0.7745648,0.7744252,0.7743948,0.7742803,0.77415836,0.7741705
53,0.7560706,0.75583345,0.7555352,0.75532633,0.75530887,0.7551428,0.75503284,0.75502306
54,0.9739107,0.9738885,0.9738613,0.97385085,0.9738411,0.97382456,0.97381717,0.9738153
55,0.8757759,0.87570536,0.8754762,0.8753614,0.8753223,0.8752786,0.875123,0.87517023
56,0.74780613,0.7475972,0.7473362,0.7472234,0.74716425,0.7469708,0.7467776,0.7467922
57,0.76322705,0.7630177,0.76268786,0.762548,0.76249015,0.762361,0.7622292,0.7621916
58,0.9256991,0.9255363,0.9253867,0.92533284,0.9252987,0.92525774,0.92519486,0.9251911
59,0.97069466,0.9706956,0.97069246,0.9706897,0.97068995,0.9706876,0.9706878,0.97068626
60,0.76860577,0.7684395,0.7682482,0.7680928,0.7680707,0.7679468,0.7677895,0.76775837
61,0.9589262,0.95892346,0.9589218,0.9589101,0.95891047,0.95892,0.95890963,0.95891273
62,0.98540044,0.985394,0.985389,0.985388,0.9853868,0.9853821,0.9853785,0.98537874
63,0.94259775,0.9425955,0.9426027,0.9426046,0.94261056,0.94261986,0.9426216,0.94262767
64,0.8500114,0.84964025,0.84944224,0.84924865,0.84925914,0.84915155,0.8488709,0.8488948
65,0.94154364,0.9415111,0.94147897,0.9414477,0.94142795,0.941411,0.9413922,0.9413799
66,0.94309723,0.9429493,0.94281036,0.9426913,0.94268286,0.94260865,0.9425164,0.942522
67,0.9098127,0.9097053,0.9094911,0.9093221,0.9093399,0.9092765,0.90916216,0.9091761
68,0.75641274,0.75625944,0.7560297,0.75595796,0.75582063,0.7557326,0.7556005,0.75559247
69,0.97391427,0.9739125,0.9739132,0.9739127,0.97391164,0.9739079,0.97390676,0.973908
70,0.7542604,0.7539949,0.7537627,0.7535705,0.75353974,0.7533908,0.7532754,0.7532484
71,0.9339914,0.9338894,0.9338131,0.9337329,0.9337272,0.93370533,0.9336303,0.9336347
72,0.9341608,0.9340442,0.9339344,0.9338378,0.93386734,0.9337991,0.9336981,0.9337214
73,0.8787368,0.8786191,0.8784318,0.8783526,0.87837654,0.8782633,0.8781819,0.87821263
74,0.85374147,0.85353637,0.85327667,0.85326684,0.85314465,0.85302544,0.8528501,0.8528907
75,0.7424676,0.7422599,0.7419393,0.7417623,0.74171287,0.7415724,0.7413818,0.741354
76,0.8547219,0.8543741,0.854137,0.8540141,0.85401684,0.8538347,0.85371244,0.8538414
77,0.85332805,0.85304147,0.8528265,0.8527,0.85262066,0.85252297,0.8524299,0.85235906
78,0.9678765,0.9678712,0.9678675,0.96786445,0.96786124,0.9678599,0.9678607,0.96786135
79,0.8059697,0.8055824,0.8053435,0.8052987,0.80520386,0.8053493,0.8050384,0.80506045
80,0.75074947,0.75047976,0.7501409,0.74996835,0.74995774,0.7497971,0.7496295,0.74964434
81,0.85994065,0.8597195,0.8594734,0.85935956,0.8592848,0.85928684,0.8590388,0.8591236
82,0.87521946,0.87483925,0.87471044,0.8744703,0.8744481,0.87436485,0.87428105,0.8742901
83,0.72427666,0.72401947,0.7237308,0.723572,0.72353196,0.72348684,0.7233418,0.7233224
