,dec_1_drift_from_origin,dec_2_drift_from_origin,dec_3_drift_from_origin,dec_4_drift_from_origin,dec_5_drift_from_origin,dec_6_drift_from_origin
75,0.2880776,0.28832603,0.2985409,0.29093522,0.28708345,0.27898866
76,0.9089004,0.9057905,0.9149095,0.9046446,0.91643226,0.8973732
77,0.755636,0.76306534,0.76388645,0.750397,0.74503773,0.7267034
78,0.71320045,0.7148678,0.7261635,0.71684706,0.6915679,0.6320297
79,0.68089026,0.6875192,0.70180047,0.67645276,0.68517494,0.65596855
80,0.8371537,0.8495822,0.851736,0.8346887,0.8042707,0.7713517
81,0.083887815,0.08374506,0.08664107,0.07926464,0.07392061,0.06788015
82,0.5472632,0.54232025,0.55597305,0.54171836,0.5464122,0.54916155
83,0.8029921,0.8053578,0.81683373,0.79651034,0.7835479,0.7757541
84,0.71918666,0.7228278,0.74113834,0.7304271,0.7239062,0.72459483
85,0.03291297,0.033598244,0.033777595,0.0314731,0.028335273,0.025243402
86,0.4728753,0.46682405,0.48078185,0.45875907,0.4563592,0.46106708
87,0.5897007,0.5979216,0.62300086,0.60178435,0.5978532,0.603922
88,0.77710843,0.7808924,0.79187834,0.78001857,0.77334553,0.7356719
89,0.7886245,0.7879334,0.79033774,0.78187877,0.7896246,0.83374655
90,0.8475446,0.84479725,0.8495147,0.85152507,0.87217146,0.8879107
91,0.7592361,0.76293135,0.7804601,0.76073796,0.7556292,0.7259567
92,0.7831259,0.7924397,0.8043227,0.8029077,0.8010462,0.7680468
93,0.5957345,0.5987562,0.6126696,0.60222256,0.5984053,0.58197945
94,0.8533502,0.85629684,0.8634155,0.8447232,0.84063035,0.833147
95,0.84972954,0.85434365,0.85377574,0.8432122,0.83868617,0.8244269
96,0.047615528,0.04894024,0.047938764,0.04579979,0.043533325,0.04133594
97,0.9528146,0.95915323,0.9630843,0.9521472,0.9264669,0.9291945
98,0.13596416,0.13885605,0.13927561,0.13134062,0.12404621,0.11902481
99,0.77633476,0.77947104,0.78796726,0.7555751,0.69264024,0.66076934
100,0.12718564,0.13020563,0.13605464,0.12678939,0.11882031,0.105166614
101,0.36355126,0.36558115,0.3792069,0.3618474,0.34551954,0.35190582
102,0.22452986,0.22477925,0.23414272,0.22744995,0.22493184,0.22607106
103,0.8500233,0.8536453,0.8669076,0.8535437,0.83630466,0.8344319
104,0.8233783,0.824147,0.8263187,0.8261493,0.82842135,0.79289794
105,0.3758881,0.38260144,0.39331222,0.38452762,0.38258594,0.3995399
106,0.8683877,0.8647602,0.8628428,0.85081756,0.84607387,0.846192
107,0.7933353,0.7925172,0.80426,0.782317,0.75522983,0.755598
