,dec_0_norm,dec_1_norm,dec_2_norm,dec_3_norm
58187,0.24357884,0.2437452,0.24355362,0.2440381
58188,0.47806752,0.47818118,0.47810146,0.4787244
58189,0.2637037,0.26312962,0.26271227,0.26260015
58190,0.53685087,0.5370701,0.537381,0.53778535
58191,0.27059662,0.2711428,0.2711717,0.2710057
58192,0.23401923,0.23379195,0.23328881,0.23295699
58193,0.25725755,0.25765163,0.25784904,0.2586719
58194,0.29621834,0.29671025,0.2971459,0.2976468
58195,0.2021412,0.2029496,0.20334654,0.20378713
58196,0.2394717,0.2396965,0.2401535,0.2407089
58197,0.26045203,0.2604226,0.26092443,0.26153886
58198,0.22867437,0.22941288,0.22960381,0.23008257
58199,0.30226782,0.30326056,0.30355337,0.30416808
58200,0.25331682,0.25462773,0.25474906,0.25542456
58201,0.23192479,0.23265986,0.23329079,0.23388353
58202,0.24831009,0.24867927,0.24963634,0.24961683
58203,0.2862132,0.28577048,0.28566852,0.28527674
58204,0.2178416,0.21793914,0.21780623,0.21786764
